System Test Results

	Test Arguments		Expected Results		Success	

	3, 4, 5, 3		13		Passed	


	1, 1, 1, 8		3		Passed	


	3, 5, 48, 40		1140		Passed	


	36, 36, 36, 13		446		Passed	


	8, 2, 6, 13		57		Passed	


	1, 1, 1, 1		1		Passed	


	50, 50, 50, 150		3825		Passed	


	1, 1, 1, 150		3		Passed	


	50, 50, 50, 1		50		Passed	


	36, 1, 24, 8		260		Passed	


	36, 1, 24, 11		341		Passed	


	36, 1, 24, 12		366		Passed	


	36, 1, 24, 13		390		Passed	


	36, 1, 24, 14		414		Passed	


	1, 1, 1, 2		2		Passed	


	1, 1, 1, 3		3		Passed	


	1, 1, 1, 4		3		Passed	


	2, 1, 2, 1		2		Passed	


	2, 2, 1, 2		4		Passed	


	1, 2, 2, 3		5		Passed	


	1, 2, 2, 4		6		Passed	


	1, 2, 2, 5		7		Passed	


	8, 20, 50, 76		1519		Passed	


	8, 50, 20, 33		1124		Passed	


	20, 8, 50, 29		1044		Passed	


	20, 50, 8, 47		1341		Passed	


	50, 8, 20, 8		372		Passed	


	50, 20, 8, 17		714		Passed	


	23, 40, 47, 16		652		Passed	


	23, 47, 40, 34		1219		Passed	


	40, 23, 47, 51		1614		Passed	


	40, 47, 23, 34		1219		Passed	


	47, 23, 40, 109		2223		Passed	


	47, 40, 23, 13		542		Passed	


	21, 35, 50, 66		1849		Passed	


	21, 50, 35, 53		1641		Passed	


	35, 21, 50, 17		715		Passed	


	35, 50, 21, 49		1566		Passed	


	50, 21, 35, 5		240		Passed	


	50, 35, 21, 34		1229		Passed	


	25, 46, 48, 73		2206		Passed	


	25, 48, 46, 28		1135		Passed	


	46, 25, 48, 26		1067		Passed	


	46, 48, 25, 106		2547		Passed	


	48, 25, 46, 100		2512		Passed	


	48, 46, 25, 31		1233		Passed	


	28, 38, 50, 27		1055		Passed	


	28, 50, 38, 22		894		Passed	


	38, 28, 50, 70		2046		Passed	


	38, 50, 28, 93		2322		Passed	


	50, 28, 38, 86		2257		Passed	


	50, 38, 28, 84		2235		Passed	


	5, 5, 12, 10		78		Passed	


	5, 12, 5, 7		63		Passed	


	12, 5, 5, 16		99		Passed	


	12, 12, 5, 4		46		Passed	


	12, 5, 12, 16		136		Passed	


	5, 12, 12, 8		84		Passed	


	3, 3, 13, 4		46		Passed	


	3, 13, 3, 15		98		Passed	


	13, 3, 3, 11		88		Passed	


	13, 13, 3, 12		126		Passed	


	13, 3, 13, 16		152		Passed	


	3, 13, 13, 15		146		Passed	


	3, 3, 27, 17		323		Passed	


	3, 27, 3, 2		53		Passed	


	27, 3, 3, 4		102		Passed	


	27, 27, 3, 3		80		Passed	


	27, 3, 27, 4		106		Passed	


	3, 27, 27, 10		250		Passed	


	26, 26, 26, 39		780		Passed	


	26, 26, 26, 40		793		Passed	


	26, 26, 26, 41		806		Passed	


	3, 4, 5, 12		31		Passed	


	8, 1, 19, 28		227		Passed	


	3, 13, 2, 18		100		Passed	


	50, 49, 47, 146		3628		Passed	


	43, 49, 44, 137		3161		Passed	


	43, 49, 44, 135		3160		Passed	


	41, 48, 39, 129		2817		Passed	


	41, 48, 39, 127		2816		Passed	


	50, 49, 50, 150		3775		Passed	


	22, 33, 41, 149		1675		Passed	


	5, 4, 10, 1		10		Passed	


	1, 1, 1, 10		3		Passed	


	2, 3, 4, 15		19		Passed	


	3, 2, 1, 6		10		Passed	


	2, 2, 2, 20		9		Passed	


	2, 2, 2, 6		9		Passed	


	1, 1, 1, 12		3		Passed	


	2, 3, 4, 3		10		Passed	


	5, 4, 18, 9		126		Passed	


	1, 10, 15, 100		176		Passed	


	5, 4, 1, 4		16		Passed	


	1, 1, 1, 6		3		Passed	


	1, 3, 2, 1		3		Passed	


	3, 2, 1, 10		10		Passed	


	5, 6, 1, 6		27		Passed	


	1, 1, 1, 50		3		Passed	


	3, 1, 2, 1		3		Passed	


	5, 5, 40, 40		828		Passed	


	1, 1, 1, 5		3		Passed	






