
 System Test Results

	Test Arguments		Expected Results		Success	

	10, 8		1		Passed	


	100, 80		6		Passed	


	47, 47		-1		Passed	


	99000, 0		1000		Passed	


	1000000000, 470000000		19230770		Passed	


	999999, 999998		-1		Passed	


	1000000000, 980000000		1000000000		Passed	


	1000000000, 974712345		264382750		Passed	


	1000000000, 979999999		50		Passed	


	999997473, 980123402		987409627		Passed	


	1, 0		1		Passed	


	1, 1		-1		Passed	


	2, 0		1		Passed	


	2, 1		1		Passed	


	2, 2		-1		Passed	


	3, 0		1		Passed	


	3, 1		1		Passed	


	3, 2		1		Passed	


	3, 3		-1		Passed	


	32532, 3342		266		Passed	


	23532532, 3243243		59665		Passed	


	754754632, 52354643		514174		Passed	


	476432567, 0		4812451		Passed	


	987654321, 12		9976295		Passed	


	100, 99		-1		Passed	


	1000000000, 980000000		1000000000		Passed	


	1000000000, 470000000		19230770		Passed	


	10, 0		1		Passed	


	1000000000, 990000000		-1		Passed	


	1000000000, 999999999		-1		Passed	


	10000, 9900		-1		Passed	


	100000, 99999		-1		Passed	


	200, 199		-1		Passed	


	1000000000, 500000000		20408164		Passed	


	1000000000, 980000001		999999900		Passed	


	47, 46		3		Passed	


	1000, 9		2		Passed	


	1750, 1015		43		Passed	


	908533084, 907080095		-1		Passed	


	1000000000, 989999999		100		Passed	


	147974666, 124825802		6351094		Passed	


	101, 100		-1		Passed	


	99, 96		1		Passed	


	1000000000, 900000000		111111112		Passed	


	1000, 873		59		Passed	


	200, 198		-1		Passed	


	222, 33		1		Passed	


	1000000000, 970000000		500000000		Passed	


	1000000000, 988000000		200000000		Passed	


	100, 98		100		Passed	


	100000, 98995		500		Passed	


	1000, 988		200		Passed	


	1000000000, 800000000		52631579		Passed	


	1000, 998		-1		Passed	


	10, 1		1		Passed	


	1000000, 999999		-1		Passed	


	1000000000, 3		10101008		Passed	


	10000, 9999		-1		Passed	


	10000000, 9999999		-1		Passed	


	436134623, 394732463		23889377		Passed	


	1000000000, 470000001		19230768		Passed	


	999999999, 980000000		999999901		Passed	


	1000000000, 0		10101011		Passed	


	999999999, 999999998		-1		Passed	


	500000, 88888		1357		Passed	


	1000, 999		-1		Passed	


	843090428, 556970660		23939172		Passed	


	1000000000, 989000000		100000000		Passed	


	1, 0		1		Passed	


	2, 1		1		Passed	


	999, 55		6		Passed	


	10, 10		-1		Passed	


	199999999, 199999998		-1		Passed	


	1000000000, 570000000		23809524		Passed	


	5, 1		1		Passed	




