
 System Test Results

	Test Arguments		Expected Results		Success	

	{"EOE", "OEO", "EOE"}		{0, 1, 2, 1}		Passed	


	{"OO", "OE"}		{-1}		Passed	


	{"EO", "EE"}		{-1}		Passed	


	{"EOEO", "OEOE", "EOEO", "OEOE"}		{0, 1, 0, 3, 2, 1}		Passed	


	{"EO", "OE"}		{0, 1}		Passed	


	{"EE", "EE"}		{-1}		Passed	


	{"EOEOEEEOEEOEEEEEEEOOOEOEOEOEOOOEEEOEE", "OEOEOOOEOOEOOOOOEOEEEOEOEOEOEEEOOOEOO", "EOEOEEEOEEOEEEEEOEOOOEOEOEOEOOOEEEOEE", "OEOEOOOEOOEOOOOOEOEEEOEOEOEOEEEOOOEOO", "EOEOEEEOEEOEEEEEOEOOOEOEOEOEOOOEEEOEE", "EOEOEEEOEEOEEEEEOEOOOEOEOEOEOOOEEEOEE", "EOEOEEEOEEOEEEEEOEOOOEOEOEOEOOOEEEOEE", "OEOEOOOEOOEOOOOOEOEEEOEOEOEOEEEOOOEOO", "EOEOEEEOEEOEEEEEOEOOOEOEOEOEOOOEEEOEE", "EOEOEEEEEEOEEEEEOEOOOEOEOEOEOOOEEEOEE", "OEOEOOOEOOEOOOOOEOEEEOEOEOEOEEEOOOEOO", "EOEOEEEOEEOEEEEEOEOOOEOEOEOEOOOEEEOEE", "EOEOEEEOEEOEEEEEOEOOOEOEOEOEOOEEEEOEE", "EOEOEEEOEEOEEEEEOEOOOEOEOEOEOOOEEEOEE", "EOEOEEEOEEOEEEEEOEOOOEOEOEOEOOOEEEOEE", "EEEOEEEOEEOEEEEEOEOOOEOEOEOEOOOEEEOEE", "OEOEOOOEOOEOOOOOEOEEEOEOEOEOEEEOOOEOO", "EOEOEEEOEEOEEEEEOEOOOEOEOEOEOOOEEEOEE", "OEOEOOOEOOEOOOOOEOEEEOEOEOEOEEEOOOEOO", "OEOEOOEEOOEOOOOOEOEEEOEOEOEOEEEOOOEOO", "OEOEOOOEOOEOOOOOEOEEEOEOEOEOEEEOOOEOO", "EOEOEEEOEEOEEEEEOEOEOEOEOEOEOOOEEEOEE", "OEOEOOOEOOEOOOOOEOEEEOEOEOEOEEEOOOEOO", "EOEOEEEOEEOEEEEEOEOOOEOEOEOEOOOEEEOEE", "OEOEOOOEOOEOOOOOEOEEEOEOEOEOEEEOOOEOO", "EOEOEEEOEEOEEEEEOEOOOEOEOEOEOOOEEEOEE", "OEOEOOOEOOEOOOOOEOEEEOEOEOEOEEEOOOEOO", "EOEOEEEOEEEEEEEEOEOOOEOEOEOEOOOEEEOEE", "OEOEOOOEOOEOOOOOEOEEEOEOEOEOEEEOOOEOO", "OEOEOOOEOOEOOOOOEOEEEOEOEOEOEEEOOOEOO", "OEOEOOOEOOEOOOOOEOEEEOEOEOEOEEEOOOEOO", "EOEOEEEOEEOEEEEEOEOOOEOEOEOEOOOEEEOEE", "EOEOEEEOEEOEEEEEOEOOOEOEOEOEOOOEEEOEE", "EOEOEEEOEEOEEEEEOEOOOEOEOEOEOOOEEEOEE", "OEOEOOOEOOEOOOOOEOEEEOEOEOEOEEEOOOEOO", "EOEOEEEOEEOEEEEEOEOOOEOEOEOEOOOEEEOEE", "EOEOEEEOEEOEEEEEOEOOOEOEOEOEOOOEEEOEE"}		{-1}		Passed	


	{"EO", "OE"}		{0, 1}		Passed	


