  


 System Test Results

	Test Arguments		Expected Results		Success	

	2, 2, 1, 1, 1		16		Passed	


	2, 2, 2, 1, 1		64		Passed	


	1, 2, 3, 1, 2		352		Passed	


	123456, 1654321, 20, 20, 20		860242008		Passed	


	0, 0, 1000000000, 1, 10		0		Passed	


	-887550029, -425167655, 93615980, 99, 53		386681114		Passed	


	-427580039, -768715515, 900336294, 5, 49		876992936		Passed	


	151485118, 207570246, 356694563, 44, 7		940283739		Passed	


	-657127604, -709966314, 362083632, 72, 43		492048133		Passed	


	506867352, -473515706, 175854056, 1, 56		882364172		Passed	


	661267549, -811851455, 943422141, 77, 49		103539425		Passed	


	-1000000000, -1000000000, 200000000, 1, 1		947675421		Passed	


	-780877811, 944328809, 1000000000, 100, 100		390687226		Passed	


	-905752410, -800789620, 1000000000, 100, 100		907700571		Passed	


	432668310, -694681361, 1000000000, 100, 100		586013186		Passed	


	-728880840, 696666363, 1000000000, 100, 100		49540967		Passed	


	946925817, -954396094, 1000000000, 100, 100		622917465		Passed	


	-373361022, 956680906, 1000000000, 100, 100		68791639		Passed	


	-75212831, 231384488, 1000000000, 100, 100		588564196		Passed	


	2453452, 129029, 1000000000, 100, 100		112925438		Passed	


	-1000000000, -1000000000, 1000000000, 1, 1		623291020		Passed	


	2349023, 2349082, 1000000000, 100, 100		949235123		Passed	






